NET_BOOKINGS
53
64
75
74
25
53
15
24
37
22
29
28
60
21
30
20
41
32
36
72
22
53
26
26
34
21
63
21
52
16
25
20
35
72
26
73
24
20
29
36
78
21
79
36
37
21
67
78
25
53
31
36
28
39
74
28
84
40
30
33
37
81
19
73
44
24
59
49
72
37
79
47
52
40
44
82
63
51
83
25
26
32
81
45
61
57
70
34
71
75
20
82
65
23
31
40
77
70
53
59
27
28
69
79
39
70
31
37
32
72
74
31
67
59
59
40
65
82
82
78
69
79
76
47
69
76
77
17
28
49
80
56
56
74
31
67
79
75
75
46
84
28
61
73
75
84
52
69
52
14
53
40
79
27
68
74
46
39
68
71
75
76
27
28
25
38
84
49
73
33
30
36
38
74
39
79
29
42
30
47
77
22
78
17
16
31
36
71
31
73
24
29
41
53
84
53
56
80
35
29
51
79
21
70
34
33
61
37
76
69
82
42
38
47
59
70
74
46
47
74
74
80
81
77
80
70
63
71
65
69
59
68
53
26
43
77
81
70
74
28
36
27
40
69
53
75
32
25
44
56
80
32
75
40
33
24
55
83
32
23
73
46
34
51
72
25
80
42
54
51
36
73
26
69
26
38
34
63
83
81
80
83
54
43
67
82
46
75
55
57
47
40
80
51
41
32
27
51
46
80
73
67
29
45
46
82
70
34
79
26
31
39
73
80
37
76
31
39
66
55
72
53
71
61
40
83
60
72
75
76
30
57
29
29
80
34
73
26
27
34
29
70
27
81
42
30
28
66
65
34
75
70
27
20
35
71
15
82
80
62
71
79
79
83
57
37
69
69
74
52
43
42
73
21
18
60
41
28
67
36
28
37
47
73
20
55
37
28
31
68
58
33
42
25
21
34
23
66
39
80
27
22
32
70
83
75
24
81
27
29
62
81
71
77
68
33
53
53
75
70
69
59
35
41
58
79
64
76
25
31
48
78
82
32
81
80
64
45
77
84
31
66
42
73
37
68
82
67
70
59
46
59
73
75
58
66
27
42
23
43
71
53
50
46
36
67
65
70
39
68
36
29
57
39
56
59
72
39
44
61
69
75
74
58
73
58
74
64
54
68
71
27
26
25
48
78
31
68
29
36
30
64
71
44
75
24
57
37
25
68
48
61
71
36
26
37
63
40
62
32
27
42
72
70
72
81
37
32
38
62
71
39
70
37
22
33
61
72
40
67
26
21
36
42
65
48
69
17
22
13
32
69
30
73
41
41
32
54
73
62
54
71
29
51
37
80
44
55
32
48
34
62
69
55
31
32
22
36
55
74
59
66
70
60
72
74
75
74
69
62
74
59
46
51
29
53
51
44
30
40
76
53
58
46
52
35
40
74
38
63
50
42
39
40
75
41
72
48
21
54
51
75
73
40
66
35
46
75
75
61
54
70
36
36
37
71
68
47
13
24
36
51
73
31
70
67
43
26
60
72
74
73
46
22
49
70
71
64
71
51
57
40
68
71
70
75
31
17
37
46
75
30
74
25
44
36
30
76
37
77
19
40
41
39
67
71
75
48
24
50
76
68
62
74
34
40
38
45
54
31
65
49
26
32
32
69
68
76
25
19
29
46
64
40
68
44
30
36
40
76
40
34
73
38
65
74
67
68
57
65
40
59
61
54
48
43
13
29
24
30
72
27
74
72
32
62
32
66
23
44
37
32
28
25
61
21
53
26
26
32
31
51
38
52
56
34
27
49
74
50
62
74
38
39
43
69
44
72
42
35
41
40
72
59
60
47
44
35
35
69
40
70
30
44
28
56
73
52
71
47
29
44
46
73
47
76
47
52
67
52
75
62
76
50
54
47
65
62
62
70
56
24
20
63
55
33
76
31
22
46
39
81
33
72
28
23
24
32
61
34
68
35
26
19
57
73
75
74
74
70
75
73
68
58
63
72
15
23
27
63
44
48
32
31
28
39
76
40
74
44
28
39
40
72
71
74
50
13
44
32
75
49
45
46
47
55
43
63
43
73
42
45
44
48
69
46
69
21
31
30
35
61
43
71
54
38
24
40
64
32
50
25
18
19
26
76
29
65
44
26
42
64
72
38
65
73
26
29
29
73
1
49
23
23
49
35
70
33
50
40
35
35
36
43
62
43
39
30
72
74
75
74
64
70
54
37
43
66
32
59
31
58
32
36
54
46
58
55
34
34
40
52
41
54
44
33
33
49
63
32
53
31
29
37
55
74
44
73
74
35
32
72
73
63
52
74
33
26
55
72
59
71
25
21
28
49
72
67
74
24
29
38
48
75
61
40
66
45
41
38
75
75
75
47
40
37
66
66
68
75
47
41
33
51
76
67
50
81
39
49
49
74
43
74
60
43
32
55
76
70
75
50
64
44
63
74
73
83
45
43
46
52
70
69
71
42
32
38
71
66
45
73
35
24
33
39
67
69
74
31
37
32
65
75
56
60
43
38
75
82
82
76
77
78
78
