"","x"
"1",77.5493031580556
"2",46.5079612330845
"3",78.6340496091754
"4",46.5942093059073
"5",40.3707938927026
"6",42.7934938003942
"7",66.1757522151277
"8",75.9713563751316
"9",65.0105850093108
"10",55.1240073360429
"11",44.8693270841352
"12",54.2546803428015
"13",61.7484356558888
"14",72.3665199409398
"15",80.6449695333943
"16",32.4622393703677
"17",55.5564167538348
"18",40.5441620690139
"19",49.4806277298818
"20",32.6142766551666
"21",36.4157627277507
"22",74.6742851174619
"23",39.3602471888749
"24",49.7256441248199
"25",57.3127335072961
"26",60.7696003859179
"27",74.2720683172808
"28",71.8072209122697
"29",72.237264496065
"30",67.8394189192803
"31",69.2074772020484
